cid,callsign,dep,dest,sobt
1996625,DLH5RX,EDDF,EPWA,1455
1955418,BOX474,EDDF,KLAX,1455
1956601,OCN6NH,EDDF,LEPA,1500
1778761,DLH4XK,EDDF,EDDH,1500
1579065,DLH4RP,EDDF,EDDV,1500
1228026,DLH7AC,EDDF,EDDP,1500
1967519,DLH9CH,EDDF,LIPZ,1500
1640247,DLH1HT,EDDF,LIPZ,1500
2006906,DLH432,EDDF,KORD,1500
967579,DLH9YW,EDDF,EGCC,1500
1894284,DLH3CT,EDDF,EHAM,1500
1979165,DLH88H,EDDF,LFPG,1500
1508624,DLH71X,EDDF,LFMN,1500
1049360,DLH2PP,EDDF,LSZH,1500
1915034,DLH5PL,EDDF,EPKK,1500
1412112,DLH7MR,EDDF,EPGD,1500
1911349,DLH2VV,EDDF,LKPR,1500
1828006,DLH830,EDDF,EKCH,1505
1962371,DLH5EF,EDDF,EGBB,1505
1723354,DLH6HE,EDDF,LHBP,1505
1597166,DLH2FF,EDDF,LIMC,1510
1064292,DLH278,EDDF,LIML,1510
2009476,DLH1LA,EDDF,ESGG,1510
1609140,DLH05K,EDDF,LOWS,1510
1888155,DLH74U,EDDF,LEMD,1510
1579312,DLH6TV,EDDF,LGAV,1510
1693200,BOX464,EDDF,CYYZ,1510
1942822,DLH8NK,EDDF,EDDM,1515
1593630,DLH194,EDDF,EDDB,1515
1937815,DLH4MA,EDDF,EDDB,1515
1952601,DLH404,EDDF,KJFK,1515
1740273,DLH11F,EDDF,LEBL,1520
1940860,DLH6TX,EDDF,EDDM,1525
1882980,DLH1KY,EDDF,EDDB,1525
1399621,BEL4LZ,EDDF,EBBR,1530
1678818,BAW905U,EDDF,EGLL,1530
1767830,ITY272,EDDF,LIML,1535
1691390,SWR8GY,EDDF,LSGG,1540
1912551,DLH918,EDDF,EGLL,1540
1523456,KLM44P,EDDF,EHAM,1540
1545828,ITY274,EDDF,LIML,1540
1645808,TUI2HE,EDDF,GCFV,1540
1582743,ITY276,EDDF,LIML,1545
1818725,DLH65N,EDDF,LOWW,1550
1304091,ITY278,EDDF,LIML,1550
1586880,QTR8564,EDDF,KATL,1555
1920542,BOX919,EDDF,EDDP,1605
1567874,ITY280,EDDF,LIML,1605
1627425,TUI5GY,EDDF,LPMA,1605
1821742,BEL5PR,EDDF,EBBR,1610
912657,BEL4KY,EDDF,EBBR,1610
840441,BAW909,EDDF,EGLL,1610
1595407,TUI3WL,EDDF,LEPA,1610
995432,SAS94J,EDDF,EKCH,1610
1402580,GEC8346,EDDF,LTFM,1615
1692634,QTR2M,EDDF,OTHH,1620
1388664,BOX628,EDDF,UAAA,1625
1494896,CFG8WK,EDDF,LEPA,1625
1872042,QTR39C,EDDF,OTHH,1630
939523,BEL9DN,EDDF,EBBR,1640
1637405,DLH4AF,EDDF,EDDH,1640
1703925,BAW911U,EDDF,EGLL,1640
1681550,GEC8402,EDDF,ZSPD,1640
1932318,CFG5HV,EDDF,LEPA,1640
1858402,QTR6P,EDDF,OTHH,1650
1763584,CFG288,EDDF,FAOR,1650
1612672,CFG4339,EDDF,UDYZ,1650
1950440,DLH5MX,EDDF,EDDM,1655
1901433,UAE46,EDDF,OMDB,1655
1489535,BAW907,EDDF,EGLL,1655
2008446,CFG2366,EDDF,VTBS,1655
1284191,TUI43E,EDDF,LCLK,1655
1947253,DLH1UT,EDDF,LBSF,1700
1590527,CFG7FR,EDDF,EDDH,1700
1611428,CFG8PV,EDDF,LHBP,1700
1915034,TUI3CE,EDDF,LEPA,1700
1745776,SAS676,EDDF,EKCH,1700
1975296,BOX911,EDDF,EDDP,1702
1666714,CFG1FC,EDDF,LKPR,1705
1686028,CFG7PT,EDDF,LEIB,1705
898428,CFG1CD,EDDF,LFPG,1710
1839314,CFG4237,EDDF,LIPZ,1710
1980030,DLH04U,EDDF,LEVC,1710
929019,DLH8AH,EDDF,LMML,1710
1911552,DLH9AT,EDDF,LJLJ,1710
1838441,BEL9CJ,EDDF,EBBR,1715
1453899,CFG7HF,EDDF,LIEO,1715
1758080,OCN1TN,EDDF,LCLK,1715
986536,DLH338,EDDF,LIRN,1715
1926140,OCN204,EDDF,GMMX,1720
1290261,DLH34J,EDDF,LPPT,1720
1467068,CFG6NA,EDDF,LOWW,1720
1929111,DLH898,EDDF,EYVI,1720
1407840,DLH48F,EDDF,LEBB,1720
1340865,DLH7YA,EDDF,EPWA,1720
1619528,DLH7LV,EDDF,LQSA,1720
1837914,DLH032,EDDF,EDDH,1725
1773629,DLH7EC,EDDF,EDDM,1725
1467248,DLH202,EDDF,EDDB,1725
1624528,UAE9994,EDDF,OMDW,1725
1664276,UAE9978,EDDF,OMDW,1725
1229507,BOX478,EDDF,KLAX,1725
857685,CFG4327,EDDF,LEBL,1725
1974011,DLH204,EDDF,EDDB,1725
1899520,DLH7WK,EDDF,LROP,1730
1907351,CFG6LT,EDDF,VRMM,1730
1413802,CFG9MK,EDDF,LSZH,1735
1959924,DLH44C,EDDF,LPPR,1735
1749592,LHX1MY,EDDF,EGLL,1740
1825079,DLH892,EDDF,EVRA,1740
1739871,UAE13U,EDDF,OMDB,1740
1685130,DLH2HK,EDDF,EHAM,1740
1175138,DLH55U,EDDF,LFMN,1740
1673341,DLH67K,EDDF,LEMD,1740
1057073,DLH05H,EDDF,LEBL,1740
